Url,SourceCountry,Trustable,LanguageSource,Type,CovertArea
"https://www.ad.nl/home/rss.xml","BE","2","NL","NewsChannel","Civil"
"http://rss.cnn.com/rss/cnn_topstories.rss","us","2","EN","NewsChannel","Civil"
"http://feeds.nytimes.com/nyt/rss/HomePage","us","2","EN","NewsChannel","Civil"
"http://www.washingtonpost.com/rss/","us","2","EN","NewsChannel","Civil"
"https://www.apnews.com/apf-usnews","us","2","EN","NewsChannel","Civil"
"http://www.npr.org/rss/rss.php?id=1001","us","2","EN","NewsChannel","Civil"
"http://newsrss.bbc.co.uk/rss/newsonline_world_edition/americas/rss.xml","us","2","EN","NewsChannel","Civil"
"http://feeds.sciencedaily.com/sciencedaily","us","2","EN","NewsChannel","Civil"
"http://feeds.nature.com/nature/rss/current","us","2","EN","NewsChannel","Civil"
"http://feeds.wired.com/wired/index","us","2","EN","NewsChannel","Civil"
"http://feeds.nytimes.com/nyt/rss/Technology","us","2","EN","NewsChannel","Civil"
"http://www.npr.org/rss/rss.php?id=1019","us","2","EN","NewsChannel","Civil"
"http://feeds.pcworld.com/pcworld/latestnews","us","2","EN","NewsChannel","Civil"
"http://feeds.feedburner.com/FrontlineEditorsNotes","us","2","EN","NewsChannel","Civil"
"http://www.pbs.org/wgbh/nova/rss/nova.xml","us","2","EN","NewsChannel","Civil"
"http://feeds.feedburner.com/tweakers/mixed","us","2","EN","NewsChannel","Civil"
"https://archive.nytimes.com/www.nytimes.com/services/xml/rss/index.html?mcubz=0","us","2","EN","NewsChannel","Civil"
"http://rssfeeds.usatoday.com/usatodaycomnation-topstories&amp;x=1","us","2","EN","NewsChannel","Civil"
"https://www.standaard.be/rss/section/e70ccf13-a2f0-42b0-8bd3-e32d424a0aa0<","BE","2","NL","NewsChannel","Civil"
"http://rss.cnn.com/rss/edition_meast.rss","us","2","EN","NewsChannel","Civil"
"http://feeds.bbci.co.uk/news/world/middle_east/rss.xml","us","2","EN","NewsChannel","Civil"
"http://feeds.nieuwsblad.be/nieuwsblad/buitenland","BE","2","NL","NewsChannel","Civil"
"https://feeds.feedburner.com/TheHackersNews","us","2","EN","NewsChannel","Cyber"
"https://www.sans.org/newsletters/newsbites/","us","2","EN","NewsChannel","Cyber"